
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal_part             
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 1                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/pascal/fold2     
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 2
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0052/2500] mIoU: 32.66  |  FB-IoU: 59.06 |  0: 21.60    |  1: 42.87    |  2: 44.32    |  3: 17.44    |  4: 37.06   
[Batch: 0053/2500] mIoU: 32.95  |  FB-IoU: 59.39 |  0: 21.60    |  1: 42.87    |  2: 45.79    |  3: 17.44    |  4: 37.06   
[Batch: 0054/2500] mIoU: 33.28  |  FB-IoU: 59.54 |  0: 21.60    |  1: 42.87    |  2: 45.79    |  3: 19.08    |  4: 37.06   
[Batch: 0055/2500] mIoU: 33.77  |  FB-IoU: 59.96 |  0: 21.60    |  1: 42.87    |  2: 45.79    |  3: 19.08    |  4: 39.50   
[Batch: 0056/2500] mIoU: 33.60  |  FB-IoU: 59.48 |  0: 20.74    |  1: 42.87    |  2: 45.79    |  3: 19.08    |  4: 39.50   
[Batch: 0057/2500] mIoU: 33.73  |  FB-IoU: 59.65 |  0: 20.74    |  1: 43.53    |  2: 45.79    |  3: 19.08    |  4: 39.50   
[Batch: 0058/2500] mIoU: 34.01  |  FB-IoU: 60.00 |  0: 20.74    |  1: 43.53    |  2: 47.22    |  3: 19.08    |  4: 39.50   
[Batch: 0059/2500] mIoU: 33.78  |  FB-IoU: 60.07 |  0: 20.74    |  1: 43.53    |  2: 47.22    |  3: 17.91    |  4: 39.50   
[Batch: 0060/2500] mIoU: 33.61  |  FB-IoU: 59.95 |  0: 20.74    |  1: 43.53    |  2: 47.22    |  3: 17.91    |  4: 38.63   
[Batch: 0061/2500] mIoU: 34.12  |  FB-IoU: 60.10 |  0: 23.31    |  1: 43.53    |  2: 47.22    |  3: 17.91    |  4: 38.63   
[Batch: 0062/2500] mIoU: 32.98  |  FB-IoU: 59.58 |  0: 23.31    |  1: 37.82    |  2: 47.22    |  3: 17.91    |  4: 38.63   
[Batch: 0063/2500] mIoU: 32.33  |  FB-IoU: 59.13 |  0: 23.31    |  1: 37.82    |  2: 43.96    |  3: 17.91    |  4: 38.63   
[Batch: 0064/2500] mIoU: 32.55  |  FB-IoU: 59.27 |  0: 23.31    |  1: 37.82    |  2: 43.96    |  3: 19.00    |  4: 38.63   
[Batch: 0065/2500] mIoU: 32.44  |  FB-IoU: 59.09 |  0: 23.31    |  1: 37.82    |  2: 43.96    |  3: 19.00    |  4: 38.09   
[Batch: 0066/2500] mIoU: 31.99  |  FB-IoU: 58.02 |  0: 21.06    |  1: 37.82    |  2: 43.96    |  3: 19.00    |  4: 38.09   
[Batch: 0067/2500] mIoU: 31.24  |  FB-IoU: 57.70 |  0: 21.06    |  1: 34.07    |  2: 43.96    |  3: 19.00    |  4: 38.09   
[Batch: 0068/2500] mIoU: 31.49  |  FB-IoU: 58.00 |  0: 21.06    |  1: 34.07    |  2: 45.24    |  3: 19.00    |  4: 38.09   
[Batch: 0069/2500] mIoU: 31.46  |  FB-IoU: 58.13 |  0: 21.06    |  1: 34.07    |  2: 45.24    |  3: 18.83    |  4: 38.09   
[Batch: 0070/2500] mIoU: 31.74  |  FB-IoU: 58.41 |  0: 21.06    |  1: 34.07    |  2: 45.24    |  3: 18.83    |  4: 39.49   
[Batch: 0071/2500] mIoU: 31.62  |  FB-IoU: 58.00 |  0: 20.49    |  1: 34.07    |  2: 45.24    |  3: 18.83    |  4: 39.49   
[Batch: 0072/2500] mIoU: 31.25  |  FB-IoU: 57.87 |  0: 20.49    |  1: 32.21    |  2: 45.24    |  3: 18.83    |  4: 39.49   
[Batch: 0073/2500] mIoU: 31.22  |  FB-IoU: 57.94 |  0: 20.49    |  1: 32.21    |  2: 45.08    |  3: 18.83    |  4: 39.49   
[Batch: 0074/2500] mIoU: 31.24  |  FB-IoU: 58.01 |  0: 20.49    |  1: 32.21    |  2: 45.08    |  3: 18.94    |  4: 39.49   
[Batch: 0075/2500] mIoU: 30.90  |  FB-IoU: 57.62 |  0: 20.49    |  1: 32.21    |  2: 45.08    |  3: 18.94    |  4: 37.76   
[Batch: 0076/2500] mIoU: 30.89  |  FB-IoU: 57.59 |  0: 20.47    |  1: 32.21    |  2: 45.08    |  3: 18.94    |  4: 37.76   
[Batch: 0077/2500] mIoU: 31.04  |  FB-IoU: 57.59 |  0: 20.47    |  1: 32.95    |  2: 45.08    |  3: 18.94    |  4: 37.76   
[Batch: 0078/2500] mIoU: 31.50  |  FB-IoU: 58.02 |  0: 20.47    |  1: 32.95    |  2: 47.36    |  3: 18.94    |  4: 37.76   
[Batch: 0079/2500] mIoU: 31.68  |  FB-IoU: 58.14 |  0: 20.47    |  1: 32.95    |  2: 47.36    |  3: 19.87    |  4: 37.76   
[Batch: 0080/2500] mIoU: 31.74  |  FB-IoU: 58.22 |  0: 20.47    |  1: 32.95    |  2: 47.36    |  3: 19.87    |  4: 38.04   
[Batch: 0081/2500] mIoU: 32.10  |  FB-IoU: 58.31 |  0: 22.29    |  1: 32.95    |  2: 47.36    |  3: 19.87    |  4: 38.04   
[Batch: 0082/2500] mIoU: 32.18  |  FB-IoU: 58.45 |  0: 22.29    |  1: 33.34    |  2: 47.36    |  3: 19.87    |  4: 38.04   
[Batch: 0083/2500] mIoU: 32.35  |  FB-IoU: 58.67 |  0: 22.29    |  1: 33.34    |  2: 48.19    |  3: 19.87    |  4: 38.04   
[Batch: 0084/2500] mIoU: 32.30  |  FB-IoU: 58.76 |  0: 22.29    |  1: 33.34    |  2: 48.19    |  3: 19.63    |  4: 38.04   
[Batch: 0085/2500] mIoU: 31.79  |  FB-IoU: 58.13 |  0: 22.29    |  1: 33.34    |  2: 48.19    |  3: 19.63    |  4: 35.48   
[Batch: 0086/2500] mIoU: 31.79  |  FB-IoU: 57.93 |  0: 22.30    |  1: 33.34    |  2: 48.19    |  3: 19.63    |  4: 35.48   
[Batch: 0087/2500] mIoU: 32.63  |  FB-IoU: 58.33 |  0: 22.30    |  1: 37.56    |  2: 48.19    |  3: 19.63    |  4: 35.48   
[Batch: 0088/2500] mIoU: 32.66  |  FB-IoU: 58.45 |  0: 22.30    |  1: 37.56    |  2: 48.35    |  3: 19.63    |  4: 35.48   
[Batch: 0089/2500] mIoU: 32.89  |  FB-IoU: 58.56 |  0: 22.30    |  1: 37.56    |  2: 48.35    |  3: 20.77    |  4: 35.48   
[Batch: 0090/2500] mIoU: 32.99  |  FB-IoU: 58.70 |  0: 22.30    |  1: 37.56    |  2: 48.35    |  3: 20.77    |  4: 35.96   
[Batch: 0091/2500] mIoU: 32.57  |  FB-IoU: 57.69 |  0: 20.20    |  1: 37.56    |  2: 48.35    |  3: 20.77    |  4: 35.96   
[Batch: 0092/2500] mIoU: 32.70  |  FB-IoU: 57.82 |  0: 20.20    |  1: 38.21    |  2: 48.35    |  3: 20.77    |  4: 35.96   
[Batch: 0093/2500] mIoU: 32.12  |  FB-IoU: 57.44 |  0: 20.20    |  1: 38.21    |  2: 45.48    |  3: 20.77    |  4: 35.96   
[Batch: 0094/2500] mIoU: 32.16  |  FB-IoU: 57.53 |  0: 20.20    |  1: 38.21    |  2: 45.48    |  3: 20.98    |  4: 35.96   
[Batch: 0095/2500] mIoU: 32.06  |  FB-IoU: 57.46 |  0: 20.20    |  1: 38.21    |  2: 45.48    |  3: 20.98    |  4: 35.45   
[Batch: 0096/2500] mIoU: 32.13  |  FB-IoU: 57.49 |  0: 20.55    |  1: 38.21    |  2: 45.48    |  3: 20.98    |  4: 35.45   
[Batch: 0097/2500] mIoU: 32.59  |  FB-IoU: 57.76 |  0: 20.55    |  1: 40.47    |  2: 45.48    |  3: 20.98    |  4: 35.45   
[Batch: 0098/2500] mIoU: 32.32  |  FB-IoU: 57.62 |  0: 20.55    |  1: 40.47    |  2: 44.16    |  3: 20.98    |  4: 35.45   
[Batch: 0099/2500] mIoU: 32.36  |  FB-IoU: 57.70 |  0: 20.55    |  1: 40.47    |  2: 44.16    |  3: 21.16    |  4: 35.45   
[Batch: 0100/2500] mIoU: 32.58  |  FB-IoU: 57.91 |  0: 20.55    |  1: 40.47    |  2: 44.16    |  3: 21.16    |  4: 36.58   
[Batch: 0101/2500] mIoU: 32.58  |  FB-IoU: 57.86 |  0: 20.55    |  1: 40.47    |  2: 44.16    |  3: 21.16    |  4: 36.58   
[Batch: 0102/2500] mIoU: 32.60  |  FB-IoU: 57.94 |  0: 20.55    |  1: 40.55    |  2: 44.16    |  3: 21.16    |  4: 36.58   
[Batch: 0103/2500] mIoU: 32.02  |  FB-IoU: 57.51 |  0: 20.55    |  1: 40.55    |  2: 41.27    |  3: 21.16    |  4: 36.58   
[Batch: 0104/2500] mIoU: 32.10  |  FB-IoU: 57.60 |  0: 20.55    |  1: 40.55    |  2: 41.27    |  3: 21.53    |  4: 36.58   
[Batch: 0105/2500] mIoU: 32.30  |  FB-IoU: 57.77 |  0: 20.55    |  1: 40.55    |  2: 41.27    |  3: 21.53    |  4: 37.61   
[Batch: 0106/2500] mIoU: 32.18  |  FB-IoU: 57.41 |  0: 19.96    |  1: 40.55    |  2: 41.27    |  3: 21.53    |  4: 37.61   
[Batch: 0107/2500] mIoU: 31.96  |  FB-IoU: 57.38 |  0: 19.96    |  1: 39.43    |  2: 41.27    |  3: 21.53    |  4: 37.61   
[Batch: 0108/2500] mIoU: 31.90  |  FB-IoU: 57.36 |  0: 19.96    |  1: 39.43    |  2: 40.95    |  3: 21.53    |  4: 37.61   
[Batch: 0109/2500] mIoU: 31.77  |  FB-IoU: 57.43 |  0: 19.96    |  1: 39.43    |  2: 40.95    |  3: 20.90    |  4: 37.61   
